Season,Name,Team,K%+,BB%+,AVG+,SLG+,NameASCII,PlayerId,MLBAMID
2019,"Nick Margevicius","SDP",188.37809087070198,0,77.5549764418871,44.93643572969811,"Nick Margevicius",20395,676606
2016,"James Shields","- - -",254.1588130942309,0,73.34314874971794,44.820222889637556,"James Shields",7059,448306
2020,"Jared Oliva","PIT",162.28979436012258,0,76.07660362355222,44.514213622597914,"Jared Oliva",19968,666931
2018,"Wade Miley","MIL",182.08101435515275,39.79546731600737,72.9775243655223,44.39793262689948,"Wade Miley",8779,489119
2017,"Jerad Eickhoff","PHI",182.04911760479155,0,61.7235678857908,44.26775689797441,"Jerad Eickhoff",12664,595191
2017,"Clayton Richard","SDP",217.05856295008067,16.34483544967442,46.99654112322353,44.138319002276376,"Clayton Richard",3551,453385
2017,"Andrew Stevenson","WSN",144.28135200001668,117.8809372170096,60.42412424661795,44.138319002276376,"Andrew Stevenson",17932,664057
2016,"Austin Barnes","LAD",118.56093444927647,156.38340941614297,59.98846886083261,44.08106263884686,"Austin Barnes",12158,605131
2016,"Joel De La Cruz","ATL",216.6298555369496,0,71.98616263299913,44.08106263884686,"Joel De La Cruz",12825,503444
2017,"Michael Martinez","- - -",163.81872160978767,138.05800934011762,63.290149529435794,44.009884102001536,"Michael Martinez",7358,492841
2017,"Edinson Volquez","MIA",174.58043562005926,37.048294204604815,73.59348493409138,43.983989177169114,"Edinson Volquez",3990,450172
2019,"Sonny Gray","CIN",144.8717222702957,37.622695008966645,59.009221188923874,43.95955648695139,"Sonny Gray",12768,543243
2020,"Yu Chang","CLE",129.51699263632008,169.9964263184895,74.88816335601214,43.893224844055325,"Yu Chang",14773,644374
2017,"Mike Leake","- - -",129.8532164667251,60.62448142571697,65.13806299863208,43.79682317526346,"Mike Leake",10130,502190
2019,"Patrick Wisdom","TEX",234.298747874988,42.00755594083648,60.63193918671745,43.69703885400573,"Patrick Wisdom",13602,621550
2016,"Darrell Ceciliani","TOR",233.68596009091465,42.99650797346653,43.15861364037418,43.69031095653837,"Darrell Ceciliani",9954,571553
2019,"Michael Wacha","STL",246.34058068610312,0,64.62914677638932,43.68820130401441,"Michael Wacha",14078,608379
2016,"Jake Peavy","SFG",188.67761620716587,74.66046646826302,71.09744450470417,43.5368519454477,"Jake Peavy",1051,408241
2016,"Jeremy Hellickson","PHI",177.2426089427541,70.13558904632261,63.987699862270645,43.5368519454477,"Jeremy Hellickson",4371,476451
2016,"Jorge De La Rosa","COL",162.4723916527122,55.10653408536243,70.723247377847,43.30771058848495,"Jorge De La Rosa",2047,407822
2019,"Zach Davies","MIL",207.94984076762114,20.5214700048909,59.6576738579498,43.208111209422896,"Zach Davies",13183,605200
2020,"Isan Díaz","MIA",137.7004314995999,0,73.77125166662547,43.16529786403292,"Isan Diaz",17922,656371
2020,"Kyle Garlick","PHI",131.71345625464096,0,55.32843885140457,43.16529786403292,"Kyle Garlick",18063,664247
2017,"Phil Gosselin","- - -",113.87994311422051,44.45795291215191,55.966791480530276,43.04717826720123,"Phil Gosselin",10953,594838
2020,"Jarrod Dyson","- - -",71.94936443839886,65.36712299936066,73.46868503023222,43.00838240267404,"Jarrod Dyson",4866,502481
2018,"Jacob deGrom","NYM",156.58072482874897,60.230978703751106,64.69947670203543,42.94008995925926,"Jacob deGrom",10954,594798
2020,"Mallex Smith","SEA",116.4275093133397,47.0202878485243,54.917986570911545,42.917819852885486,"Mallex Smith",13608,605480
2016,"Wade Miley","- - -",80.6772956188943,0,70.62318581572956,42.89594158062761,"Wade Miley",8779,489119
2018,"Jhoulys Chacín","MIL",115.86973666063119,49.15910760211637,63.33406557049906,42.81229208175175,"Jhoulys Chacin",2608,468504
2020,"Josh Rojas","ARI",98.91949345791883,107.85575402750266,73.16656925928665,42.811483937384736,"Josh Rojas",19734,668942
2019,"Kevin Kramer","PIT",155.54648108083643,135.44170338669696,64.62914677638932,42.79660534986383,"Kevin Kramer",17689,596012
2016,"David Phelps","MIA",112.48088626634534,0,69.80476345121104,42.745272669558375,"David Phelps",6316,475479
2016,"Travis Wood","CHC",203.09048944403597,96.43643551731219,69.80476345121104,42.745272669558375,"Travis Wood",9884,475243
2016,"Matt Harvey","NYM",155.9734961425772,0,52.35357268438984,42.745272669558375,"Matt Harvey",11713,518774
2016,"Michael Reed","MIL",142.16334251334172,96.43643551731219,69.80476345121104,42.745272669558375,"Michael Reed",13228,605439
2020,"Francisco Mejía","SDP",92.73702522499208,25.67994056200167,31.210913932567376,42.611896685458504,"Francisco Mejia",16403,642336
2019,"Ronald Torreyes","MIN",77.18076400587842,0,73.89517629023537,42.60461295082297,"Ronald Torreyes",11400,591720
2019,"Donovan Walton","SEA",115.09412159434729,185.71761846229342,73.89517629023537,42.60461295082297,"Donovan Walton",19314,622268
2020,"Eric Haase","DET",132.92533455887929,58.156671434630105,72.68557054630041,42.6022477776667,"Eric Haase",14111,606992
2020,"Joe Hudson","SEA",105.23255675378334,110.49767771475541,72.68557054630041,42.6022477776667,"Joe Hudson",14412,621529
2016,"Jerad Eickhoff","PHI",94.33880810358293,18.665116327756447,50.35097676457472,42.39490157246778,"Jerad Eickhoff",12664,595191
2018,"Chris Archer","- - -",163.58080447925394,0,46.36219167168808,42.30861813623664,"Chris Archer",6345,502042
2018,"Braxton Lee","MIA",205.99064274624257,61.904060888385416,69.54328790161077,42.30861813623664,"Braxton Lee",16839,657658
2018,"Adolis García","STL",190.8442717379699,0,46.36219167168808,42.30861813623664,"Adolis Garcia",19287,666969
2017,"Mike Freeman","- - -",136.17890343665084,105.63777568912262,38.52204993614229,42.25698050680957,"Mike Freeman",11241,502273
2020,"Óscar Mercado","CLE",122.20554950701921,59.407352659565895,52.68295205891167,42.106872702451284,"Oscar Mercado",16375,640458
2020,"Brandon Drury","TOR",77.31371500282705,45.10109235848391,62.678136986023304,41.984823837352444,"Brandon Drury",11615,592273
2018,"Wei-Yin Chen","MIA",198.6338340105226,0,59.11179479518487,41.95604637437606,"Wei-Yin Chen",13071,612672
2016,"Emmanuel Burriss","PHI",97.48343508911076,46.28948923346781,42.658466702822494,41.79537772657039,"Emmanuel Burriss",2917,502034
2020,"Chris Davis","BAL",130.10570649368393,60.27145996897016,47.52518064676144,41.782973819082756,"Chris Davis",9272,448801
2020,"Tzu-Wei Lin","BOS",125.54059400728781,38.771114658079,63.3669073917203,41.782973819082756,"Tzu-Wei Lin",14678,624407
2016,"Craig Gentry","LAA",74.47134961587791,95.91528759322475,57.12169437550825,41.63429630941141,"Craig Gentry",9571,502226
2019,"Isaac Galloway","MIA",144.0245191465236,0,64.62914677638932,41.60781081922377,"Isaac Galloway",5238,543194
2017,"Jeremy Hellickson","- - -",109.87579847551685,85.49606337809593,34.78964713115562,41.58486237418197,"Jeremy Hellickson",4371,476451
2017,"Vance Worley","MIA",141.07509960638208,0,69.57929464499735,41.58486237418196,"Vance Worley",6435,474699
